GEO_ID,NAME,Total pop,Total enrolled
0500000US27001,Aitkin,15496,2582
0500000US27003,Anoka,340602,84811
0500000US27005,Becker,33093,7957
0500000US27007,Beltrami,44694,13565
0500000US27009,Benton,39024,10223
0500000US27011,Big Stone,4787,930
0500000US27013,Blue Earth,65154,21742
0500000US27015,Brown,24357,6151
0500000US27017,Carlton,34647,8342
0500000US27019,Carver,99559,28138
0500000US27021,Cass,28499,5706
0500000US27023,Chippewa,11404,2510
0500000US27025,Chisago,53792,12642
0500000US27027,Clay,61284,19726
0500000US27029,Clearwater,8559,2083
0500000US27031,Cook,5254,807
0500000US27033,Cottonwood,10822,2569
0500000US27035,Crow Wing,62715,12750
0500000US27037,Dakota,409287,106257
0500000US27039,Dodge,20055,5408
0500000US27041,Douglas,36584,7897
0500000US27043,Faribault,13284,2829
0500000US27045,Fillmore ,20254,4615
0500000US27047,Freeborn,29558,6582
0500000US27049,Goodhue,44670,10095
0500000US27051,Grant,5780,1282
0500000US27053,Hennepin ,1206459,310345
0500000US27055,Houston,18013,3938
0500000US27057,Hubbard,20680,4394
0500000US27059,Isanti,38767,9240
0500000US27061,Itasca,43778,9470
0500000US27063,Jackson,9522,2044
0500000US27065,Kanabec ,15688,3423
0500000US27067,Kandiyohi,41206,9659
0500000US27069,Kittson,4117,799
0500000US27071,Koochiching,12091,2440
0500000US27073,Lac qui Parle,6428,1251
0500000US27075,Lake,10251,1783
0500000US27077,Lake of the Woods,3607,626
0500000US27079,Le Sueur,27353,6574
0500000US27081,Lincoln,5440,1269
0500000US27083,Lyon,24774,7483
0500000US27085,McLeod,34571,8139
0500000US27087,Mahnomen,5204,1521
0500000US27089,Marshall,9047,1954
0500000US27091,Martin,19076,4108
0500000US27093,Meeker,22353,5175
0500000US27095,Mille Lacs,25008,5537
0500000US27097,Morrison ,32023,7082
0500000US27099,Mower,38335,9731
0500000US27101,Murray,7955,1616
0500000US27103,Nicollet,32885,9320
0500000US27105,Nobles ,20629,5521
0500000US27107,Norman ,6262,1523
0500000US27109,Olmsted,150242,40280
0500000US27111,Otter Tail,56145,11603
0500000US27113,Pennington,13518,2986
0500000US27115,Pine,28367,5736
0500000US27117,Pipestone,8829,2148
0500000US27119,Polk,29895,7370
0500000US27121,Pope,10729,2121
0500000US27123,Ramsey,523663,142944
0500000US27125,Red Lake,3876,898
0500000US27127,Redwood,14645,3561
0500000US27129,Renville,14077,3164
0500000US27131,Rice County,64413,19853
0500000US27133,Rock County,9072,2123
0500000US27135,Roseau,14739,3448
0500000US27137,St. Louis ,193803,49049
0500000US27139,Scott ,141695,40087
0500000US27141,Sherburne,92598,24908
0500000US27143,Sibley,14355,3242
0500000US27145,Stearns,153955,46712
0500000US27147,Steele,35527,8896
0500000US27149,Stevens ,9425,2867
0500000US27151,Swift ,9017,1992
0500000US27153,Todd,23626,4973
0500000US27155,Traverse,3177,598
0500000US27157,Wabasha,20940,4588
0500000US27159,Wadena,13093,3270
0500000US27161,Waseca,17965,4156
0500000US27163,Washington,250152,66857
0500000US27165,Watonwan ,10500,2428
0500000US27167,Wilkin ,6023,1315
0500000US27169,Winona,49247,15735
0500000US27171,Wright ,130999,36025
0500000US27173,Yellow Medicine,9436,2201
