GEO_ID,CTY_NAME,Household totals,Median Income (dollars)
0500000US27001,Aitkin,7594,49086
0500000US27003,Anoka,129308,84379
0500000US27005,Becker,13942,60508
0500000US27007,Beltrami,17882,50525
0500000US27009,Benton,16482,60564
0500000US27011,Big Stone,2294,55909
0500000US27013,Blue Earth,26390,61058
0500000US27015,Brown,10643,59804
0500000US27017,Carlton,13811,66201
0500000US27019,Carver,37386,104011
0500000US27021,Cass County,13249,53845
0500000US27023,Chippewa ,5133,57301
0500000US27025,Chisago,20370,86900
0500000US27027,Clay,24695,66069
0500000US27029,Clearwater,3452,51742
0500000US27031,Cook,2608,59537
0500000US27033,Cottonwood,4915,51067
0500000US27035,Crow Wing,27605,57779
0500000US27037,Dakota,163463,88468
0500000US27039,Dodge,7776,79020
0500000US27041,Douglas,16810,65430
0500000US27043,Faribault,6074,53963
0500000US27045,Fillmore,8652,64375
0500000US27047,Freeborn,13005,54628
0500000US27049,Goodhue,19623,69334
0500000US27051,Grant ,2578,59246
0500000US27053,Hennepin,513892,81169
0500000US27055,Houston ,8286,59514
0500000US27057,Hubbard,8792,58475
0500000US27059,Isanti,15169,76999
0500000US27061,Itasca,19529,55744
0500000US27063,Jackson,4480,62479
0500000US27065,Kanabec,6631,57877
0500000US27067,Kandiyohi,16853,64252
0500000US27069,Kittson,1834,55410
0500000US27071,Koochiching,5796,52297
0500000US27073,Lac qui Parle,3048,57802
0500000US27075,Lake,5174,65201
0500000US27077,Lake of the Woods,1522,50669
0500000US27079,Le Sueur,11191,75925
0500000US27081,Lincoln ,2459,53557
0500000US27083,Lyon,10067,57274
0500000US27085,McLeod,14736,62885
0500000US27087,Mahnomen,1956,45398
0500000US27089,Marshall,3952,60951
0500000US27091,Martin,8824,53851
0500000US27093,Meeker,9219,63841
0500000US27095,Mille Lacs,10535,57173
0500000US27097,Morrison,13536,58826
0500000US27099,Mower,15750,55378
0500000US27101,Murray ,3659,62839
0500000US27103,Nicollet,12821,69174
0500000US27105,Nobles,7898,56000
0500000US27107,Norman,2771,56081
0500000US27109,Olmsted,63561,80403
0500000US27111,Otter Tail,24693,59456
0500000US27113,Pennington,5976,60940
0500000US27115,Pine,11132,55606
0500000US27117,Pipestone,4002,53688
0500000US27119,Polk,12619,58682
0500000US27121,Pope,5010,62878
0500000US27123,Ramsey,210424,67238
0500000US27125,Red Lake ,1713,59698
0500000US27127,Redwood,6262,57243
0500000US27129,Renville,6032,58542
0500000US27131,Rice,23183,70600
0500000US27133,Rock,3990,65744
0500000US27135,Roseau,5940,62304
0500000US27137,St. Louis,86229,57480
0500000US27139,Scott,50487,103261
0500000US27141,Sherburne,32791,88671
0500000US27143,Sibley,6015,64170
0500000US27145,Stearns,59576,65244
0500000US27147,Steele,14836,68172
0500000US27149,Stevens,3683,65503
0500000US27151,Swift,4243,53457
0500000US27153,Todd,9888,54502
0500000US27155,Traverse,1590,51216
0500000US27157,Wabasha,9081,67906
0500000US27159,Wadena,5748,46178
0500000US27161,Waseca,7547,60450
0500000US27163,Washington,95796,97584
0500000US27165,Watonwan,4371,53304
0500000US27167,Wilkin,2799,56829
0500000US27169,Winona,19466,60020
0500000US27171,Wright,49097,87772
0500000US27173,Yellow Medicine,4088,59289
